,Jaar,Huizen in gesloten bebouwing,Huizen in halfopen bebouwing,"Huizen in open bebouwing, hoeven en kastelen",Appartementen in flatgebouwen en buildings,Woningen in handelshuizen,Woniningen in andere gebouwen,TOTAAL AANTAL BESCHIKBARE WONINGEN,,,
0,1995,685.821,496.031,729.294,437664.0,116.131,84.600,2549541.0,,,
1,1998,687.462,507.678,774.344,483781.0,114.132,85.732,2653129.0,,,
2,2001,687.748,518.236,808.701,520541.0,111.088,87.378,2733692.0,,,
3,2002,687.860,521.284,816.974,531247.0,109.879,86.891,2754135.0,,,
4,2003,688.477,524.713,824.311,544234.0,108.371,86.883,2776989.0,,,
5,2004,688.886,527.836,830.742,557452.0,106.740,86.645,2798301.0,,,
6,2005,689.455,531.424,836.752,570289.0,104.980,86.659,2819559.0,,,
7,2006,689.724,535.205,843.719,584834.0,103.054,86.052,2842588.0,,,
8,2007,690.044,539.549,850.783,601597.0,101.081,85.307,2868361.0,,,
9,2008,690.391,544.303,858.490,619519.0,99.344,84.630,2896677.0,,,
10,2009,690.920,549.345,865.892,639857.0,97.705,84.439,2928158.0,,,
11,2010,690.972,553.759,870.753,660198.0,96.255,84.691,2956628.0,,,
12,2011,691.279,558.251,876.244,680128.0,94.807,84.657,2985366.0,,,
13,2012,692.025,562.890,881.386,699992.0,93.258,85.209,3014760.0,,,
14,2013,692.724,567.513,885.978,720434.0,91.667,85.068,3043384.0,,,
15,2014,693.409,571.487,889.764,739754.0,89.964,85.597,3069975.0,,,
16,2015,693.584,575.938,892.921,757602.0,88.192,85.570,3093807.0,,,
17,2016,693.975,579.803,895.952,774938.0,86.457,86.907,3118032.0,,,
18,2017,694.640,584.149,898.542,795590.0,84.571,89.074,3146566.0,,,
19,2018,695.272,588.648,901.692,819009.0,82.596,90.198,3177415.0,,,
20,2019,696.285,593.137,904.364,848992.0,80.970,91.706,3215454.0,,,
21,2020,696.856,597.790,907.423,881867.0,79.259,92.530,3255725.0,,,
