"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHL","STINT","TOT","PC_PA","M","2011-01",3.6,
"CHL","STINT","TOT","PC_PA","M","2011-02",3.88,
"CHL","STINT","TOT","PC_PA","M","2011-03",4.26,
"CHL","STINT","TOT","PC_PA","M","2011-04",5.01,
"CHL","STINT","TOT","PC_PA","M","2011-05",5.37,
"CHL","STINT","TOT","PC_PA","M","2011-06",5.55,
"CHL","STINT","TOT","PC_PA","M","2011-07",5.56,
"CHL","STINT","TOT","PC_PA","M","2011-08",5.35,
"CHL","STINT","TOT","PC_PA","M","2011-09",5.28,
"CHL","STINT","TOT","PC_PA","M","2011-10",5.14,
"CHL","STINT","TOT","PC_PA","M","2011-11",5.11,
"CHL","STINT","TOT","PC_PA","M","2012-01",4.84,
"CHL","STINT","TOT","PC_PA","M","2012-02",4.98,
"CHL","STINT","TOT","PC_PA","M","2012-03",5.07,
"CHL","STINT","TOT","PC_PA","M","2012-04",5.05,
"CHL","STINT","TOT","PC_PA","M","2012-05",5.16,
"CHL","STINT","TOT","PC_PA","M","2012-09",4.96,
"CHL","STINT","TOT","PC_PA","M","2013-01",5.08,
"CHL","STINT","TOT","PC_PA","M","2013-04",5.03,
"CHL","STINT","TOT","PC_PA","M","2013-05",4.98,
"CHL","STINT","TOT","PC_PA","M","2013-06",4.91,
"CHL","STINT","TOT","PC_PA","M","2013-07",4.88,
"CHL","STINT","TOT","PC_PA","M","2013-09",4.75,
"CHL","STINT","TOT","PC_PA","M","2014-01",4.45,
"CHL","STINT","TOT","PC_PA","M","2014-02",4.19,
"CHL","STINT","TOT","PC_PA","M","2014-03",4.04,
"CHL","STINT","TOT","PC_PA","M","2014-04",3.72,
"CHL","STINT","TOT","PC_PA","M","2014-06",3.95,
"CHL","STINT","TOT","PC_PA","M","2014-07",3.77,
"CHL","STINT","TOT","PC_PA","M","2015-01",2.81,
"CHL","STINT","TOT","PC_PA","M","2015-02",3.08,
"CHL","STINT","TOT","PC_PA","M","2015-03",1.53,
"CHL","STINT","TOT","PC_PA","M","2015-04",3.03,
"CHL","STINT","TOT","PC_PA","M","2015-06",2.85,
"CHL","STINT","TOT","PC_PA","M","2016-01",3.5,
"CHL","STINT","TOT","PC_PA","M","2016-02",3.62,
"CHL","STINT","TOT","PC_PA","M","2016-03",3.6,
"CHL","STINT","TOT","PC_PA","M","2016-04",3.5,
"CHL","STINT","TOT","PC_PA","M","2016-05",3.54,
"CHL","STINT","TOT","PC_PA","M","2016-06",3.52,
"CHL","STINT","TOT","PC_PA","M","2016-07",3.5,
"CHL","STINT","TOT","PC_PA","M","2016-08",3.48,
"CHL","STINT","TOT","PC_PA","M","2016-09",3.5,
"CHL","STINT","TOT","PC_PA","M","2016-10",3.48,
"CHL","STINT","TOT","PC_PA","M","2017-01",3.22,
"CHL","STINT","TOT","PC_PA","M","2017-04",2.72,
"CHL","STINT","TOT","PC_PA","M","2017-05",2.54,
"CHL","STINT","TOT","PC_PA","M","2017-06",2.49,
"CHL","STINT","TOT","PC_PA","M","2017-07",2.45,
"CHL","STINT","TOT","PC_PA","M","2017-08",2.47,
"CHL","STINT","TOT","PC_PA","M","2017-09",2.49,
"CHL","STINT","TOT","PC_PA","M","2017-10",2.5,
"CHL","STINT","TOT","PC_PA","M","2017-11",2.49,
"CHL","STINT","TOT","PC_PA","M","2018-01",2.5,
