year:period,Value,Year
2010:Q1,3.703333333333333,2010.0
2010:Q2,3.44,2010.0
2010:Q3,3.146666666666667,2010.0
2010:Q4,3.56,2010.0
2011:Q1,4.1866666666666665,2011.0
2011:Q2,4.213333333333334,2011.0
2011:Q3,4.07,2011.0
2011:Q4,4.463333333333333,2011.0
2012:Q1,3.78,2012.0
2012:Q2,3.33,2012.0
2012:Q3,2.6133333333333333,2012.0
2012:Q4,2.276666666666667,2012.0
2013:Q1,2.34,2013.0
2013:Q2,2.1799999999999997,2013.0
2013:Q3,2.6466666666666665,2013.0
2013:Q4,2.473333333333333,2013.0
2014:Q1,2.3699999999999997,2014.0
2014:Q2,1.9933333333333334,2014.0
2014:Q3,1.4366666666666665,2014.0
2014:Q4,1.0533333333333335,2014.0
2015:Q1,0.6166666666666666,2015.0
2015:Q2,0.8300000000000001,2015.0
2015:Q3,1.0533333333333335,2015.0
2015:Q4,0.86,2015.0
2016:Q1,0.7333333333333334,2016.0
2016:Q2,0.51,2016.0
2016:Q3,0.17666666666666667,2016.0
2016:Q4,0.48333333333333334,2016.0
2017:Q1,0.8133333333333334,2017.0
2017:Q2,0.7233333333333333,2017.0
2017:Q3,0.7533333333333333,2017.0
2017:Q4,0.6,2017.0
2018:Q1,0.8466666666666667,2018.0
2018:Q2,0.81,2018.0
2018:Q3,0.7200000000000001,2018.0
2018:Q4,0.8033333333333333,2018.0
2019:Q1,0.6666666666666666,2019.0
2019:Q2,0.34333333333333327,2019.0
2019:Q3,-0.17333333333333334,2019.0
2019:Q4,-0.06333333333333334,2019.0
2020:Q1,-0.06,2020.0
2020:Q2,0.04666666666666667,2020.0
2020:Q3,-0.21,2020.0
2020:Q4,-0.36999999999999994,2020.0
2021:Q1,-0.20333333333333334,2021.0
2021:Q2,0.11333333333333333,2021.0
2021:Q3,-0.085,2021.0
